user_id,product_id,interaction_type,interaction_score,product_category,product_description,review_text,semantic_vector,latent_user_feature,latent_item_feature,target_recommendation_score
U070,P049,add_to_cart,0.606,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.11, 0.289, 0.53, 0.237, 0.633]",-0.637,-0.431,0.321
U154,P080,purchase,0.721,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.369, 0.863, 0.094, 0.822, 0.8]",0.48,-0.722,0.69
U075,P072,purchase,0.929,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.755, 0.951, 0.414, 0.497, 0.042]",-0.693,-0.019,0.75
U132,P035,purchase,0.974,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.629, 0.411, 0.203, 0.344, 0.745]",0.947,-0.732,1.087
U154,P078,view,0.142,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.169, 0.178, 0.932, 0.318, 0.662]",-0.31,0.739,0.227
U129,P022,purchase,0.957,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.153, 0.412, 0.63, 0.488, 0.406]",0.049,0.007,1.012
U014,P029,view,0.224,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.419, 0.205, 0.233, 0.827, 0.186]",-0.516,0.583,0.202
U045,P009,view,0.247,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.55, 0.791, 0.68, 0.111, 0.521]",-0.773,-0.525,-0.167
U057,P006,review,0.831,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.533, 0.908, 0.815, 0.9, 0.035]",-0.368,0.528,0.922
U198,P043,review,0.532,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.017, 0.448, 0.146, 0.836, 0.923]",-0.044,0.295,0.639
U079,P030,review,0.424,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.813, 0.369, 0.589, 0.162, 0.11]",0.757,-0.867,0.414
U173,P058,purchase,0.817,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.771, 0.593, 0.456, 0.419, 0.929]",0.319,0.743,1.144
U198,P072,review,0.789,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.891, 0.381, 0.715, 0.576, 0.618]",0.06,0.507,0.996
U090,P033,purchase,0.948,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.243, 0.895, 0.591, 0.552, 0.568]",0.78,-0.572,1.015
U011,P049,add_to_cart,0.698,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.596, 0.446, 0.34, 0.464, 0.652]",-0.765,0.755,0.707
U042,P019,review,0.312,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.494, 0.812, 0.307, 0.758, 0.775]",0.034,0.741,0.524
U057,P013,purchase,0.778,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.959, 0.876, 0.064, 0.281, 0.151]",-0.311,0.89,0.956
U134,P096,purchase,0.713,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.075, 0.083, 0.591, 0.666, 0.443]",-0.422,-0.097,0.573
U124,P079,purchase,0.771,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.171, 0.428, 0.202, 0.405, 0.517]",0.364,0.968,1.152
U141,P036,view,0.176,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.37, 0.871, 0.695, 0.443, 0.376]",-0.698,0.806,0.16
U118,P087,add_to_cart,0.405,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.097, 0.678, 0.431, 0.781, 0.213]",0.676,0.64,0.781
U169,P022,add_to_cart,0.549,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.757, 0.567, 0.622, 0.276, 0.777]",0.843,-0.299,0.757
U088,P089,review,0.422,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.615, 0.05, 0.176, 0.448, 0.332]",0.215,0.884,0.786
U065,P048,add_to_cart,0.448,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.917, 0.535, 0.324, 0.653, 0.034]",0.645,0.895,0.884
U165,P080,review,0.326,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.119, 0.574, 0.121, 0.779, 0.211]",0.159,-0.579,0.19
